""	"x"
"284"	"Eintracht Frankfurt"
"285"	"Schalke 04"
"286"	"Hamburger SV"
"287"	"Energie Cottbus"
"288"	"Arminia Bielefeld"
"289"	"1899 Hoffenheim"
"290"	"Hertha BSC Berlin"
"291"	"Hannover 96"
"292"	"VfL Bochum"
"293"	"Werder Bremen"
"294"	"VfB Stuttgart"
"295"	"Borussia Dortmund"
"296"	"Bayer Leverkusen"
"297"	"Hamburger SV"
"298"	"VfL Wolfsburg"
"299"	"Eintracht Frankfurt"
"300"	"Bayern Muenchen"
"301"	"Energie Cottbus"
"302"	"Arminia Bielefeld"
"303"	"Karlsruher SC"
"304"	"1. FC Koeln"
"305"	"Borussia Moenchengladbach"
"306"	"Schalke 04"
